Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1926-07-31,0.0560760000,-0.0192060000,0.0029180000,-0.0236770000,0.0173830000,0.0099180000,0.0219070000,0.0038560000,-0.0282820000,-0.0067270000,0.0168710000,0.0222910000,-0.0065990000,0.0350890000,-0.0148290000,0.0131760000,0.0132600000,0.0111890000,0.0005650000,0.0224780000,0.0310480000,0.0587090000,0.0180850000,0.0290630000,0.0034230000
1926-08-31,-0.0227060000,-0.0827820000,0.0114680000,0.0189830000,0.0826040000,0.0211200000,-0.0100250000,0.0364840000,-0.0002010000,0.0604370000,-0.0118860000,0.0213750000,0.0174160000,0.0406790000,0.0786420000,0.0113580000,0.0360870000,0.0172380000,0.0188360000,0.0509220000,0.0076690000,0.0394750000,0.0172690000,0.0524240000,0.0750760000
1926-09-30,-0.0505910000,-0.0291060000,-0.0457170000,-0.0349830000,0.0062860000,-0.0291490000,-0.0075520000,0.0084890000,-0.0351770000,-0.0117190000,-0.0057060000,-0.0006110000,-0.0217530000,0.0246610000,-0.0385150000,0.0145970000,-0.0075460000,-0.0200240000,0.0125060000,0.0064300000,-0.0152510000,0.0343100000,-0.0009160000,-0.0097970000,-0.0265840000
1926-10-31,-0.0968330000,-0.0387190000,-0.0382240000,0.0312130000,-0.0286520000,-0.0312140000,-0.0473910000,-0.0539670000,-0.0834710000,-0.0164130000,-0.0551250000,-0.0287770000,0.0011540000,-0.0251920000,-0.0345730000,-0.0423360000,-0.0297280000,-0.0242580000,-0.0357320000,-0.0567250000,-0.0305820000,-0.0332610000,-0.0256670000,-0.0499250000,-0.0613290000
1926-11-30,0.0527880000,0.0387770000,0.0212840000,-0.0475950000,0.0020100000,0.0279230000,-0.0204170000,0.0273250000,0.0464380000,0.0241920000,0.0160100000,0.0423880000,0.0016900000,0.0464240000,0.0342740000,0.0313920000,0.0207230000,0.0342150000,0.0480020000,0.0151130000,0.0412310000,0.0222550000,0.0121800000,0.0334960000,0.0225360000
1926-12-31,0.1468440000,-0.0170630000,-0.0027160000,0.0310010000,0.0057890000,0.0282000000,0.0386900000,0.0056970000,0.0202430000,0.0492860000,-0.0165950000,0.0211670000,-0.0136030000,0.0273890000,0.0125490000,0.0319320000,0.0232930000,0.0148110000,0.0274220000,-0.0012220000,0.0107640000,0.0319900000,0.0169900000,0.0596360000,0.0212240000
1927-01-31,0.0084540000,-0.0838520000,-0.0507800000,0.0279980000,0.0177100000,0.0275690000,-0.0453590000,-0.0004320000,-0.0030390000,0.1080700000,-0.0088810000,-0.0047200000,-0.0089250000,0.0208440000,0.0234760000,0.0212580000,0.0122550000,-0.0075610000,-0.0001910000,0.0705630000,-0.0102860000,0.0007880000,-0.0068520000,0.0030310000,0.0396410000
1927-02-28,0.0260720000,-0.0075220000,0.0824780000,0.0499800000,0.0966800000,0.0124900000,0.0997670000,0.0761000000,0.0334640000,0.0732670000,0.0589280000,0.0527480000,0.0411440000,0.0631320000,0.1304060000,0.0503580000,0.0400870000,0.0208700000,0.0652170000,0.1120930000,0.0319790000,0.0485090000,0.0316450000,0.0487970000,0.0601310000
1927-03-31,0.0552240000,-0.0037300000,-0.0617690000,-0.0421860000,-0.0387760000,-0.0276370000,-0.0314100000,-0.0231660000,-0.0100010000,-0.0096480000,-0.0126340000,-0.0387070000,-0.0097870000,-0.0225570000,-0.0620280000,-0.0250150000,-0.0013460000,-0.0167410000,-0.0167650000,0.0361100000,0.0028930000,0.0170050000,-0.0041960000,0.0017860000,-0.0414490000
1927-04-30,0.0757740000,0.0453800000,0.0414950000,0.0314050000,0.0617350000,-0.0321540000,-0.0441140000,-0.0055330000,-0.0066340000,0.0434920000,-0.0110240000,0.0115320000,-0.0075400000,0.0181630000,0.0162170000,-0.0052260000,0.0160830000,-0.0139580000,-0.0018090000,0.0550300000,0.0244450000,0.0064380000,-0.0055060000,-0.0067530000,-0.0378450000
1927-05-31,0.0973380000,0.0695630000,0.0227870000,0.1437990000,0.1066370000,0.0701470000,0.0189440000,0.0513700000,0.0870030000,0.1315300000,0.0272850000,0.0637180000,0.0584310000,0.0679450000,0.1256550000,0.0453480000,0.0589170000,0.0336110000,0.0688630000,0.0741990000,0.0539530000,0.0438650000,0.0524680000,0.0512540000,0.0447620000
1927-06-30,-0.0362610000,0.1032990000,-0.0331880000,-0.0458100000,-0.0550610000,0.0304140000,0.0198970000,0.0431760000,-0.0120400000,-0.0667110000,-0.0098360000,-0.0391250000,-0.0107040000,-0.0015400000,0.0147600000,0.0077680000,-0.0350380000,-0.0400520000,-0.0255810000,0.0172870000,-0.0031660000,-0.0342290000,-0.0302300000,-0.0332620000,-0.0563610000
1927-07-31,0.2410890000,0.1043550000,0.0436630000,0.0238840000,0.0517220000,0.0536630000,0.0668590000,0.0379990000,0.0674690000,0.0373860000,0.0243640000,0.0553710000,0.0583540000,0.0248170000,0.0854510000,0.0645340000,0.0733140000,0.0677830000,0.0722940000,0.0113240000,0.1103770000,0.0549920000,0.0637010000,0.0829700000,0.1314630000
1927-08-31,0.1149320000,0.0143440000,0.0050270000,-0.0137020000,0.0017980000,0.0069710000,-0.0277460000,-0.0205420000,0.0072520000,0.0489920000,0.0010590000,0.0174360000,0.0283380000,-0.0269530000,-0.0570650000,0.0458090000,0.0258070000,0.0078160000,-0.0291000000,-0.0659100000,0.0539990000,0.0094220000,0.0020690000,0.0058930000,0.0362990000
1927-09-30,-0.0515770000,-0.0697920000,0.0030180000,-0.0009480000,0.0057040000,0.0259180000,0.0763870000,0.0313510000,0.0066090000,-0.0124050000,0.0322480000,-0.0008730000,0.0177990000,0.0119240000,0.0902060000,0.0397930000,0.0292540000,0.0465590000,0.0404180000,0.0966080000,0.0572780000,0.0387470000,0.0538080000,0.0378490000,0.0538230000
1927-10-31,-0.0914370000,-0.0893990000,-0.0247570000,-0.0394860000,-0.1041080000,0.0205690000,-0.0125270000,-0.0012520000,-0.0449480000,-0.0516720000,-0.0091150000,-0.0187280000,0.0007330000,-0.0430730000,-0.1028530000,0.0026530000,-0.0228530000,-0.0292130000,-0.0496240000,-0.1203100000,-0.0526310000,-0.0248330000,-0.0440580000,-0.0670500000,-0.1479570000
1927-11-30,0.0417430000,0.1122270000,0.1631790000,0.0997680000,0.1175450000,0.1399130000,0.1499730000,0.0796850000,0.0884740000,0.0885680000,0.0617000000,0.0843130000,0.0765310000,0.0684130000,0.0966320000,0.0746020000,0.0837090000,0.0745310000,0.0757760000,0.0789100000,0.0666510000,0.0629990000,0.0579450000,0.0683270000,0.0786760000
1927-12-31,-0.0420950000,0.0716890000,0.0359970000,0.0431790000,0.0673120000,0.0459200000,0.0351870000,0.0216150000,0.0278950000,-0.0056220000,0.0435420000,0.0441680000,0.0484090000,0.0325710000,0.1110990000,-0.0016170000,0.0535180000,0.0414460000,0.0145440000,-0.0253960000,0.0264980000,0.0109010000,0.0105090000,0.0222750000,0.1015690000
1928-01-31,-0.0852630000,0.0721600000,0.0477890000,0.0153090000,0.0973340000,0.0102400000,0.0365000000,0.0006380000,0.0476860000,0.0202860000,0.0461540000,0.0256300000,0.0384300000,0.0198070000,-0.0609990000,0.0152750000,0.0083410000,0.0021680000,0.0196310000,0.0007070000,-0.0152150000,-0.0050440000,-0.0088230000,-0.0189690000,-0.0531480000
