Date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
1926-07-31,0.0214000000,-0.0013000000,,-0.0541000000,0.0107000000,0.0843000000,0.0227000000,0.4999000000,-0.0071000000,0.0786000000,,0.0511000000,0.0068000000,0.0794000000,,0.0028000000,0.0226000000,-0.0843000000,0.0384000000,,0.0522000000,0.0296000000,0.1434000000,-0.0087000000,0.0091000000,,,0.0542000000,0.0126000000,-0.0157000000,0.0682000000,0.0061000000,,0.0569000000,0.0341000000,,0.0111000000,0.0113000000,,0.0748000000,0.0171000000,-0.2401000000,-0.0014000000,0.0166000000,0.0439000000,-0.0076000000,0.0268000000,-0.0599000000,0.0498000000
1926-08-31,0.0198000000,0.0246000000,,0.2678000000,0.0627000000,0.1656000000,-0.0101000000,0.4273000000,-0.0383000000,-0.0275000000,,0.0359000000,0.0402000000,0.0522000000,,0.0758000000,0.0436000000,0.0712000000,0.0193000000,,0.0182000000,0.0185000000,0.0400000000,-0.0684000000,0.0147000000,,,0.0030000000,0.0069000000,0.0339000000,-0.0195000000,0.0192000000,,0.0126000000,0.0344000000,,-0.0495000000,0.0664000000,,-0.0262000000,0.0460000000,0.0514000000,-0.0101000000,-0.0038000000,0.1046000000,0.0232000000,0.0506000000,0.0007000000,0.0651000000
1926-09-30,-0.0080000000,0.0136000000,,0.0379000000,0.0103000000,0.0810000000,0.0625000000,-0.0514000000,0.0049000000,-0.0073000000,,0.0381000000,-0.0049000000,0.0519000000,,0.0207000000,-0.0035000000,-0.1228000000,-0.0007000000,,0.0013000000,-0.0080000000,0.0479000000,-0.0732000000,0.0265000000,,,0.0153000000,0.0007000000,-0.0382000000,0.0182000000,0.0219000000,,0.0060000000,0.0397000000,,-0.0628000000,-0.0086000000,,-0.0577000000,-0.0013000000,-0.0810000000,0.0002000000,-0.0079000000,-0.0203000000,0.0049000000,-0.0329000000,-0.0506000000,-0.0381000000
1926-10-31,-0.0078000000,-0.0399000000,,-0.0363000000,0.0075000000,-0.0172000000,-0.0541000000,0.0505000000,-0.0498000000,-0.0020000000,,0.0315000000,-0.0209000000,-0.0507000000,,0.0067000000,-0.0474000000,-0.0891000000,-0.0417000000,,0.0063000000,-0.0605000000,-0.0843000000,-0.1368000000,-0.0577000000,,,-0.0352000000,0.0192000000,-0.0136000000,-0.0359000000,-0.0043000000,,0.0151000000,-0.0279000000,,-0.0424000000,-0.0011000000,,-0.0540000000,-0.0295000000,-0.1570000000,-0.0251000000,-0.0443000000,-0.1225000000,-0.0460000000,-0.0607000000,-0.0127000000,-0.0879000000
1926-11-30,0.0644000000,0.0595000000,,0.0698000000,0.0425000000,-0.0031000000,0.0152000000,-0.0693000000,-0.0084000000,0.0156000000,,0.0410000000,0.0545000000,0.0487000000,,0.0288000000,0.0189000000,0.0194000000,0.0390000000,,0.0304000000,0.0477000000,-0.0096000000,0.0625000000,0.0758000000,,,0.0815000000,-0.0079000000,-0.0026000000,0.0409000000,0.0132000000,,0.0047000000,0.0297000000,,0.0100000000,0.0394000000,,0.0354000000,0.0130000000,0.0436000000,0.0623000000,0.0402000000,-0.0233000000,0.0327000000,0.0190000000,0.0482000000,0.0385000000
1926-12-31,-0.0356000000,-0.0010000000,,-0.0437000000,0.0227000000,0.0220000000,0.0188000000,-0.0357000000,0.0228000000,0.0019000000,,-0.0361000000,0.0087000000,0.0526000000,,0.0560000000,0.0335000000,0.0048000000,0.0311000000,,0.0474000000,-0.0277000000,0.1022000000,0.0889000000,0.0210000000,,,0.0157000000,0.0115000000,0.0266000000,-0.0046000000,0.0171000000,,0.0488000000,0.0409000000,,-0.0078000000,0.0986000000,,-0.0491000000,0.0339000000,0.0937000000,0.0029000000,0.0123000000,-0.0273000000,0.0298000000,0.0767000000,-0.0187000000,-0.0272000000
1927-01-31,-0.0391000000,-0.0041000000,,0.0034000000,-0.0058000000,0.0148000000,0.0163000000,0.0096000000,0.0382000000,-0.0117000000,,0.0520000000,0.0471000000,-0.0002000000,,-0.0171000000,-0.0208000000,-0.0380000000,-0.0063000000,,0.0094000000,-0.0127000000,-0.0107000000,-0.0254000000,-0.0084000000,,,0.0392000000,-0.0332000000,0.0142000000,-0.0204000000,0.0163000000,,0.0561000000,0.0048000000,,0.0123000000,-0.0326000000,,-0.0274000000,0.0116000000,-0.1818000000,-0.0294000000,0.0141000000,-0.0562000000,-0.0107000000,-0.0181000000,-0.0332000000,-0.0438000000
1927-02-28,0.0739000000,0.0340000000,,0.1257000000,0.0123000000,-0.0648000000,0.0217000000,0.1005000000,0.0430000000,0.0252000000,,0.0493000000,0.0043000000,0.0943000000,,0.0738000000,0.0381000000,0.0775000000,0.0341000000,,0.0761000000,0.0404000000,0.0936000000,-0.0418000000,0.0446000000,,,0.0494000000,0.0538000000,0.0086000000,0.0428000000,0.0371000000,,0.0560000000,0.0656000000,,0.0556000000,0.0342000000,,0.0519000000,0.0493000000,0.0323000000,0.0323000000,0.0647000000,0.0804000000,0.0040000000,0.0404000000,0.0172000000,0.0001000000
1927-03-31,-0.0090000000,0.0246000000,,-0.1386000000,0.0529000000,-0.0919000000,0.0159000000,-0.0813000000,-0.0038000000,0.0061000000,,0.0094000000,0.0063000000,0.0586000000,,-0.0569000000,0.0313000000,0.0491000000,0.0118000000,,-0.0253000000,0.0011000000,0.0126000000,-0.0030000000,-0.0209000000,,,0.0426000000,0.0508000000,-0.0733000000,0.0007000000,0.0532000000,,-0.0430000000,0.0571000000,,-0.1260000000,0.0596000000,,-0.0996000000,0.0065000000,-0.2077000000,-0.0060000000,-0.0375000000,-0.0839000000,0.0704000000,-0.0460000000,-0.0171000000,0.0198000000
1927-04-30,0.0514000000,0.0186000000,,0.0261000000,0.0419000000,-0.0066000000,-0.0430000000,0.0352000000,0.0118000000,0.0570000000,,-0.0062000000,0.0343000000,0.0269000000,,0.0022000000,-0.0098000000,-0.0892000000,-0.0059000000,,0.0157000000,0.0604000000,0.0265000000,-0.1173000000,-0.0086000000,,,0.0267000000,0.0085000000,-0.0604000000,0.0146000000,-0.0232000000,,0.0051000000,0.0448000000,,0.0857000000,0.0118000000,,0.0465000000,0.0053000000,-0.1100000000,0.0413000000,0.0681000000,-0.0624000000,0.0284000000,0.0044000000,0.0793000000,0.0446000000
