Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
2020-12-31,12.5156,7.7314,9.3959,8.227,7.451,11.5065,10.1547,8.958,8.8872,7.1491,12.645,8.836,6.9227,8.6023,8.5676,6.8794,5.8211,4.5756,7.7555,4.4087,5.3002,1.8008,3.4491,3.2226,8.0558
2021-01-31,16.5083,14.6098,8.2666,7.4101,41.2114,11.6678,4.9816,7.7042,4.2029,8.9893,2.4415,0.942,2.6253,1.8859,4.3525,-0.2337,0.6644,-0.2059,2.3801,2.5945,-0.9351,-0.4263,-2.0906,0.8233,1.0958
2021-02-28,8.3909,6.2924,10.6119,11.2949,-3.5384,4.0745,8.6155,9.566,12.2259,8.839,-0.0483,7.9959,8.3383,12.4743,13.8744,3.4689,5.2711,9.2254,12.1902,12.7692,-0.5854,3.3434,6.7356,8.4093,14.3346
2021-03-31,-5.5244,1.2307,1.8588,6.177,11.7823,-4.8473,-0.8262,2.182,4.6456,7.4558,-4.7837,2.5467,5.0807,6.2936,6.4522,-2.0006,4.1592,4.0771,5.2824,6.6474,1.839,5.0128,5.9385,7.392,6.1788
2021-04-30,-2.7003,-2.4029,1.7138,0.8277,-1.0157,3.2353,1.5677,2.3396,0.6733,1.2305,2.869,3.9993,3.9311,2.2207,2.9652,4.3697,3.1215,5.8012,3.2792,6.2121,5.9373,5.7761,4.0311,4.7877,4.5694
2021-05-31,1.8956,0.6597,0.8568,2.1009,10.7327,-2.5949,0.2446,1.1055,2.6615,7.1065,-3.3421,-0.7853,0.368,1.9771,6.5904,-2.0314,-0.0996,2.2358,3.7667,4.5177,-1.3515,0.8179,3.3246,3.6587,8.0383
2021-06-30,8.3779,5.3254,1.5969,-0.5691,3.7629,6.983,3.5313,1.2853,-1.7984,0.4465,5.4695,0.1045,-2.0617,-3.2132,-5.8275,5.157,0.2585,-1.2513,-3.8754,-4.662,5.7192,1.4271,-2.2174,-2.3503,-3.7246
2021-07-31,-10.3496,-7.5508,-3.9027,-4.7649,-1.5695,-7.5376,-2.8278,-1.8155,-2.2034,-6.0375,-2.501,-0.8307,-1.4361,-0.9893,-4.4843,-0.8614,1.8709,-1.2862,1.3609,-4.5576,3.2936,3.1948,0.3887,-1.5461,-3.4375
2021-08-31,2.5747,5.447,4.2598,2.7964,3.808,2.0545,2.4312,1.3589,1.685,2.4565,1.9022,1.354,1.9025,1.8473,3.5352,3.1631,1.5678,1.6428,3.2297,5.0378,3.3156,4.1276,0.556,1.2886,4.297
2021-09-30,-5.6354,-4.4277,-3.6639,-1.3942,0.0428,-5.2806,-4.1121,-3.4063,-0.7108,3.3738,-3.8561,-3.9939,-2.9657,-4.8492,2.0392,-4.2971,-5.048,-2.1588,-4.5915,1.8128,-5.2802,-6.2381,-4.3882,-0.7545,0.6758
2021-10-31,1.8076,0.1521,1.2365,1.7536,4.1354,2.4457,2.3534,3.9859,4.9723,2.8453,4.6626,3.8484,3.9369,3.9037,4.1177,4.7924,5.5583,5.3756,4.5505,4.6196,8.9956,5.6413,0.8145,5.5337,7.528
2021-11-30,-8.4204,-6.949,-3.9551,-3.6812,-3.3466,-8.0613,-3.4555,0.57,-2.6919,-4.0391,-8.576,-2.1291,-2.552,-2.4358,-3.9369,-6.3866,-1.9604,-3.0463,-1.3633,-4.7186,1.2325,-3.0068,-3.0199,-4.5384,-6.6679
2021-12-31,-6.7777,0.4989,2.2606,2.2914,3.4385,-0.5266,0.1539,5.89,6.0643,5.0249,0.0968,4.4855,4.3022,5.2503,4.4554,0.3966,5.8722,5.4007,6.1869,3.8335,2.1218,5.2595,6.9104,5.8993,1.6617
2022-01-31,-15.8865,-14.4752,-10.1461,-3.6912,-1.9091,-16.3775,-11.6597,-9.5829,-5.249,0.3868,-14.2109,-10.1419,-6.3419,-3.9308,1.7767,-12.7141,-7.1201,-4.1405,-2.7948,5.9416,-7.7613,-6.3404,-1.8309,3.027,7.5582
2022-02-28,-1.5144,-1.312,0.8251,0.5067,2.9208,-0.1611,2.0508,0.5483,3.1228,2.7265,-0.7716,0.5679,1.5302,-0.2388,3.0461,0.1103,0.4318,0.6859,2.007,3.5105,-3.3277,-4.3294,0.2844,0.0341,-0.8703
2022-03-31,0.8852,1.7694,0.5535,1.2956,2.4942,1.2199,2.2185,1.7931,-0.1624,-0.0287,1.7833,0.8371,0.8021,0.3781,3.1499,0.1259,1.1975,3.5932,1.1779,2.1024,4.8718,3.5373,1.653,3.9921,-2.9057
2022-04-30,-16.1368,-13.1485,-10.0427,-6.3042,-4.0798,-18.0685,-11.9564,-8.0424,-6.3465,-6.0679,-11.7955,-7.6092,-6.4057,-6.6351,-5.3818,-10.7022,-7.864,-4.8852,-5.7821,-6.9234,-10.863,-9.2215,-7.1109,-5.704,-7.0986
2022-05-31,-5.5365,-3.5124,-0.9566,-0.1264,2.9279,-3.2766,-2.8738,2.3442,4.0402,5.9566,-5.3077,0.9316,1.2167,4.2167,6.1138,-2.8824,1.079,4.4371,0.9084,8.355,-3.0079,-0.3193,2.7771,6.335,6.784
2022-06-30,-6.5818,-4.3342,-3.9563,-6.5832,-9.9199,-1.9338,-6.3921,-7.2115,-6.493,-12.8977,-4.4319,-7.3263,-7.3974,-10.6721,-15.4247,-7.2625,-9.489,-11.3068,-10.0595,-13.4754,-7.8069,-5.5016,-8.7703,-12.1937,-11.9875
2022-07-31,14.9652,13.0389,7.9374,9.4534,5.8884,12.8546,13.4641,11.5972,9.8447,9.2258,11.6268,11.5445,9.6885,7.6186,9.4429,13.0065,10.922,6.8956,9.6505,6.1593,12.7169,5.4082,4.1753,7.3352,6.8292
2022-08-31,3.6347,0.2043,0.7614,0.1829,-0.3345,3.6743,-0.7007,-4.4554,-3.8282,-2.4771,-3.8541,-3.5661,-2.8523,-1.8704,-1.378,-2.5181,-3.2304,-3.9545,-2.5527,-0.3688,-5.3498,-3.048,-1.9134,0.0433,-2.9765
2022-09-30,-12.9015,-9.2137,-7.3766,-11.4498,-9.2831,-8.8022,-8.913,-11.4803,-9.4737,-10.1276,-8.8512,-9.4595,-9.8836,-10.1629,-8.3181,-9.1353,-9.5999,-11.1256,-9.8613,-9.3584,-10.0388,-5.3718,-10.8495,-8.7957,-7.7506
2022-10-31,3.3099,5.0932,8.8856,8.5677,9.9183,7.6143,9.328,10.4466,12.8471,15.7299,3.4639,8.9635,12.3919,14.5012,14.8928,5.7844,8.1059,11.86,8.813,11.5419,5.2883,7.4071,9.3206,15.8705,13.1571
2022-11-30,-6.0405,-3.3942,0.6611,0.5635,1.5688,-0.2315,-1.7504,0.4422,4.4193,1.4679,3.1372,5.4622,6.3679,6.8526,2.8522,4.3218,5.2597,5.3685,6.8372,2.423,4.7454,6.6348,4.7102,4.735,6.0349
2022-12-31,-6.5045,-4.2095,-5.1837,-5.1253,-3.4399,-5.0589,-7.5598,-7.0133,-5.2982,-5.6763,-4.3533,-7.7391,-5.4848,-6.8057,-7.0242,-5.3526,-5.1716,-4.7152,-5.4141,-7.9942,-8.2033,-3.7114,-3.7597,-4.1334,-5.3798
2023-01-31,15.4106,13.3932,13.8585,9.984,7.1003,14.1421,16.0362,12.31,8.1843,6.6881,10.6176,12.9377,10.525,7.6904,6.9175,9.6917,9.5777,8.114,11.2513,6.773,8.7217,1.9238,6.4044,3.5402,6.005
2023-02-28,-4.073,-5.5869,-3.6803,-2.363,-1.0212,-4.0665,-2.8722,-0.465,-2.6176,-1.5086,-0.3618,-1.2836,-1.5924,-1.7575,-1.3406,-2.4248,-2.2546,-2.9058,-3.2575,-4.3639,-1.317,-2.1663,-3.8368,-4.1951,-2.8714
2023-03-31,-10.3166,-6.475,-7.1138,-7.0641,-9.6968,-3.4632,-3.1418,-3.2965,-5.2258,-10.0858,-0.8652,-1.0032,-2.7394,-4.594,-11.1544,1.2549,-0.4571,-2.5019,-4.0192,-11.4563,8.1256,3.2915,0.5123,-3.7313,-6.7836
2023-04-30,1.904,-2.2872,-1.4331,-2.6335,-4.1692,-2.7967,0.0092,-3.2649,-3.0496,-2.9129,-3.2515,-0.3794,-1.4568,-1.1616,-1.3578,-1.8976,-2.1866,-0.394,-1.6039,0.4532,1.129,1.434,1.1881,2.4192,3.505
2023-05-31,4.5464,2.7116,3.1756,-1.095,-1.8759,1.2513,3.3752,1.9558,1.9698,-4.9448,1.0489,-1.9133,-3.6462,-3.6683,-4.6105,0.158,-2.1581,-4.0008,-3.2273,-7.9298,5.4991,-1.1454,-5.08,-7.2248,-4.6182
2023-06-30,7.288,3.3048,5.6048,6.5232,7.1504,7.0349,7.144,9.1615,8.7654,8.2103,6.8229,8.979,8.4293,9.1356,9.5738,8.151,9.1986,9.1469,9.9205,6.7631,7.2447,5.4518,6.1606,5.6433,5.3758
2023-07-31,2.3517,2.9025,3.9629,7.3592,10.1725,4.1532,5.5458,6.069,8.4799,10.5013,5.3331,3.2669,3.9272,8.7024,8.0733,1.2495,4.3147,4.9151,9.7039,8.5167,2.3838,6.2584,3.9894,5.2207,6.7308
2023-08-31,-11.6052,-7.5558,-10.4658,-5.8497,-7.7064,-7.1954,-7.0407,-3.8998,-4.9806,-4.2239,-5.3394,-4.4226,-5.1462,-6.6146,-5.1777,-2.4647,-2.3688,-2.7942,-3.784,-2.1289,-0.8326,-0.811,-2.7064,-2.907,-7.4058
2023-09-30,-8.3019,-7.5961,-6.5249,-5.8637,-6.0553,-9.1371,-5.6605,-4.8003,-5.6737,-6.2495,-5.8727,-4.6387,-6.0684,-5.0172,-7.1566,-5.8736,-4.5895,-6.7057,-4.8187,-3.5014,-5.542,-4.3722,-1.5031,-2.1396,-2.2365
2023-10-31,-9.7033,-8.8094,-7.9365,-6.2333,-7.7076,-10.1457,-7.634,-7.03,-3.8689,-7.119,-7.3528,-6.206,-5.399,-4.8348,-6.6334,-6.088,-5.8615,-7.1421,-5.4759,-6.2826,-0.9954,-4.9086,-2.538,-2.6849,-4.0385
2023-11-30,4.9912,8.0315,10.7119,8.7524,7.0605,10.8746,9.1137,8.6422,8.7676,10.5486,11.1124,7.4219,8.5409,11.1834,15.3369,9.8774,9.0922,9.0999,8.531,7.85,9.8907,6.9409,7.0776,8.6643,15.2885
2023-12-31,15.0898,15.8289,14.676,16.7645,15.023,12.2171,14.3023,11.1368,13.257,15.6912,10.3291,10.8568,10.072,12.1534,17.0162,8.847,7.7786,9.0679,8.9012,11.719,3.7524,4.7821,5.0621,4.6596,11.6082
2024-01-31,0.6965,-3.0599,-3.675,-4.0954,-3.7719,-3.9346,-3.9413,-3.6277,-5.1427,-5.7835,-4.2161,-3.0991,-3.9942,-3.4592,-5.3363,-1.6905,-0.0187,-1.4938,-3.2855,-2.4499,2.2668,-0.5114,3.555,2.666,-0.8885
2024-02-29,9.9101,6.5461,11.7395,2.5236,4.3191,9.4637,6.5431,7.0871,4.4029,0.9166,3.2515,5.521,5.3956,1.5477,1.2683,7.0309,8.0568,3.6154,4.613,2.5456,6.0191,1.6618,8.0005,4.9929,2.9209
2024-03-31,-3.038,1.6148,0.7567,1.9273,4.5873,0.3944,2.1525,2.564,2.8327,4.2768,0.6384,2.8812,4.6765,4.6745,6.6566,3.8473,4.6856,5.0535,8.2041,7.6679,1.6533,6.4515,3.6182,6.1457,8.9895
2024-04-30,-12.5006,-7.1253,-7.5031,-7.4525,-7.4984,-6.9152,-8.2687,-6.3555,-5.5931,-6.8366,-6.286,-6.2882,-5.9795,-6.4392,-7.6944,-5.7327,-6.426,-6.0649,-6.8568,-5.734,-4.0193,1.242,-4.4625,-4.9964,-5.4747
2024-05-31,7.3279,3.2529,4.6762,3.8453,4.6775,1.9278,3.2264,5.5667,4.857,5.072,4.6483,5.1154,4.1597,5.4034,4.0525,2.5533,2.1786,2.5392,5.2938,3.6068,5.9598,4.0278,3.1691,4.0482,4.2631
2024-06-30,-4.1827,-2.3401,-5.5962,-2.0009,-2.5354,-1.6837,-1.6793,-2.162,-1.5455,-2.8258,2.8059,-0.855,-1.9375,-2.5846,-2.3404,-0.6069,-1.7629,-2.3903,-1.6565,-2.8367,6.1092,1.096,0.3339,-1.6716,0.6083
2024-07-31,12.1057,8.5509,14.1625,14.0296,14.5064,7.4212,9.7811,9.9574,12.0949,15.091,6.4974,6.0491,9.1286,10.4114,11.2443,3.2133,7.3394,6.5698,6.7612,7.1353,-0.8513,2.2329,4.0102,6.5989,2.9147
2024-08-31,-1.7017,-4.2771,-2.6547,-3.796,-2.1265,0.5129,0.2862,-3.5651,-2.2204,-1.8099,-0.1472,-2.0629,-0.9634,-1.3943,-0.7592,1.7784,2.0276,1.6155,1.4801,-0.4795,2.1543,3.8852,-0.644,4.15,0.9392
2024-09-30,1.642,1.0592,-1.5477,-1.2118,-0.232,0.5382,1.3042,0.9173,-0.5248,-0.8892,4.2635,2.3503,1.0493,0.0766,0.1074,3.4516,2.2294,1.2623,3.6539,-1.3147,2.4194,3.9933,1.0625,-1.1409,-0.5287
2024-10-31,5.3572,0.4751,-0.7511,-0.882,0.6604,-0.9068,-0.9829,-3.1869,-0.4686,-1.1392,-1.6588,-2.7289,-1.2831,-1.3824,-0.189,-1.0065,-1.8013,-1.6278,1.5997,1.5252,-0.7924,-1.3064,-1.0778,0.3624,5.8881
2024-11-30,10.6097,10.0156,9.5951,8.9933,10.7434,14.3044,13.5425,10.8019,12.6712,10.4052,10.2793,11.1932,11.5833,9.7792,11.6624,9.7341,6.8909,5.7648,10.4277,12.7064,6.3182,5.3371,5.1812,8.907,11.3098
2024-12-31,-5.5405,-4.9961,-6.7627,-7.7864,-4.5747,-4.3803,-9.1696,-8.8409,-8.8516,-6.8635,-7.9478,-7.9098,-8.0605,-8.9497,-8.9605,-8.2651,-7.1663,-6.4893,-6.2309,-5.5524,0.3266,-4.8243,-8.954,-6.7957,-5.7415
2025-01-31,1.9656,0.3795,0.5309,1.3046,-0.1019,0.4702,2.7511,3.6646,3.0646,2.3406,5.3794,2.8509,4.6361,2.7332,3.9201,4.2638,4.394,5.0203,6.7514,4.4461,1.4885,7.8641,2.0826,5.9145,7.3808
2025-02-28,-7.0666,-5.9742,-6.5071,-6.0773,-2.3477,-8.2832,-8.8283,-8.3279,-5.6293,-4.0395,-5.6928,-4.9352,-4.9152,-2.7759,-2.9096,-4.2825,-6.7574,-2.2267,-2.811,-1.7042,-3.1109,-1.884,2.5459,2.8663,1.5499
2025-03-31,-13.9314,-12.1006,-9.4072,-9.7229,-6.6402,-8.357,-6.9956,-8.2488,-6.09,-7.4943,-7.451,-6.8196,-6.3499,-5.5594,-4.4841,-6.6421,-5.8204,-3.2663,-6.433,-1.7757,-7.6633,-4.998,-0.1606,-2.1792,-6.3794
2025-04-30,0.8068,1.6903,0.8944,-0.6345,-2.5251,0.5969,-0.9047,-2.4543,-3.1368,-6.3772,-0.0449,-2.5983,-3.8647,-5.1096,-3.8388,-0.8766,-1.2699,-2.0146,-3.9276,-7.2668,1.4106,-3.0112,-7.3867,-1.3472,-2.7941
2025-05-31,10.8449,5.7624,5.3431,4.2478,5.7172,4.4605,5.08,6.9533,5.0692,5.8568,4.9387,5.7256,4.3549,3.7107,5.4756,6.2577,5.0222,3.5353,8.1175,6.5826,7.8077,6.1296,1.8407,2.6156,6.5684
2025-06-30,13.8579,5.8805,8.6403,4.6825,5.5347,6.2285,6.6343,7.3562,5.616,5.0304,3.8802,3.8059,4.2193,3.1055,5.1229,2.0351,4.3192,2.4175,7.3815,5.8024,5.5279,6.2451,4.7405,3.6424,7.0109
2025-07-31,1.4082,5.7124,0.5845,2.2898,0.793,1.7686,1.7693,2.5708,0.9169,1.7853,2.1907,1.766,1.3476,0.9085,2.6904,3.4193,2.1776,0.8992,-0.1069,-1.9303,3.296,1.4079,1.2223,0.233,-1.3744
2025-08-31,8.877,8.9386,9.6431,9.229,9.9626,9.2309,5.3913,8.5592,8.3905,10.7464,5.5051,4.6762,5.769,5.9503,9.7169,3.6528,1.6166,2.3492,5.8848,7.1342,1.1611,1.1935,3.0568,5.4262,9.0799
2025-09-30,5.0252,3.6843,6.3253,1.6796,1.8598,1.5671,2.5534,2.7634,-1.7018,-1.0551,3.0089,-0.5864,-1.2908,1.3973,1.3145,-1.6173,1.9338,2.8504,-1.0616,-1.1749,5.5609,0.7986,2.7747,0.2281,9.7883
2025-10-31,1.6342,4.1585,3.5698,-0.8537,-0.5639,3.3873,5.5502,2.3757,-2.8945,-0.5803,2.2139,-0.429,-1.9736,-1.2413,-2.5319,1.5596,1.1414,0.7399,-1.9959,-3.8438,3.8071,1.3814,0.7712,-2.213,5.6126
