Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2020-12-31,4.63,4.93,-1.68,-1.97,-0.06,0.01
2021-01-31,-0.07,6.81,3.22,-3.65,4.97,0.0
2021-02-28,2.81,4.5,7.2,0.33,-1.99,0.0
2021-03-31,3.16,-0.84,7.35,6.35,3.52,0.0
2021-04-30,4.97,-3.16,-1.02,2.43,-2.72,0.0
2021-05-31,0.29,1.27,7.04,2.34,3.01,0.0
2021-06-30,2.73,-0.3,-7.86,-2.14,-0.93,0.0
2021-07-31,1.34,-4.55,-1.79,5.5,-0.59,0.0
2021-08-31,2.95,-0.66,-0.23,-0.26,-1.72,0.0
2021-09-30,-4.4,1.12,5.12,-1.92,2.0,0.0
2021-10-31,6.63,-2.7,-0.53,1.71,-1.54,0.0
2021-11-30,-1.58,-1.7,-0.37,7.19,1.7,0.0
2021-12-31,3.24,-0.78,3.26,4.88,4.29,0.01
2022-01-31,-6.15,-4.01,12.86,0.77,7.73,0.0
2022-02-28,-2.28,2.86,3.06,-2.03,3.03,0.0
2022-03-31,3.08,-2.11,-1.9,-1.5,3.21,0.0
2022-04-30,-9.41,-0.35,6.18,3.41,5.92,0.0
2022-05-31,-0.33,-0.03,8.44,1.55,3.95,0.03
2022-06-30,-8.4,1.33,-6.0,1.76,-4.58,0.06
2022-07-31,9.57,1.78,-4.15,0.77,-6.85,0.08
2022-08-31,-3.77,1.49,0.18,-4.78,1.32,0.19
2022-09-30,-9.34,-0.97,0.03,-1.37,-0.77,0.19
2022-10-31,7.86,1.81,7.97,3.27,6.43,0.23
2022-11-30,4.69,-2.75,1.48,6.3,3.15,0.29
2022-12-31,-6.38,-0.19,1.34,0.32,4.28,0.33
2023-01-31,6.59,4.39,-3.94,-2.42,-4.43,0.35
2023-02-28,-2.57,0.58,-0.8,0.97,-1.51,0.34
2023-03-31,2.49,-6.89,-9.05,2.27,-2.1,0.36
2023-04-30,0.63,-2.57,-0.12,2.42,2.85,0.35
2023-05-31,0.33,-0.43,-7.79,-1.78,-7.08,0.36
2023-06-30,6.46,1.28,-0.13,2.32,-1.54,0.4
2023-07-31,3.21,2.86,4.06,-0.59,0.66,0.45
2023-08-31,-2.36,-3.65,-1.15,3.35,-2.41,0.45
2023-09-30,-5.23,-1.78,1.49,1.87,-0.77,0.43
2023-10-31,-3.15,-4.03,0.2,2.41,-0.69,0.47
2023-11-30,8.88,-0.2,1.67,-3.73,-1.08,0.44
2023-12-31,4.86,7.27,4.89,-2.97,1.29,0.43
2024-01-31,0.73,-5.72,-2.38,0.67,-0.97,0.47
2024-02-29,5.07,-0.82,-3.43,-2.06,-2.17,0.42
2024-03-31,2.84,-1.21,4.16,1.33,1.14,0.43
2024-04-30,-4.65,-2.59,-0.45,1.14,-0.31,0.47
2024-05-31,4.32,0.59,-1.31,3.17,-2.85,0.44
2024-06-30,2.8,-4.32,-3.36,0.56,-1.8,0.41
2024-07-31,1.22,8.34,5.62,0.26,0.28,0.45
2024-08-31,1.61,-3.55,-1.1,0.76,0.82,0.48
2024-09-30,1.73,-0.92,-2.77,0.2,-0.29,0.4
2024-10-31,-1.0,-0.89,0.86,-1.48,0.98,0.39
2024-11-30,6.49,4.59,0.15,-2.31,-2.05,0.4
2024-12-31,-3.15,-3.83,-3.0,1.89,-1.21,0.37
2025-01-31,2.8,-1.23,1.63,-2.35,-3.24,0.37
2025-02-28,-2.43,-4.91,4.91,1.08,3.06,0.33
2025-03-31,-6.39,-1.49,2.9,2.11,-0.47,0.34
2025-04-30,-0.84,-1.86,-3.4,-2.85,-2.67,0.35
2025-05-31,6.06,-0.72,-2.88,1.29,2.51,0.38
2025-06-30,4.86,-0.02,-1.6,-3.2,1.45,0.34
2025-07-31,1.98,-0.15,-1.27,-0.29,-2.07,0.34
2025-08-31,1.85,4.88,4.42,-0.68,2.07,0.38
2025-09-30,3.39,-2.18,-1.05,-2.03,-2.22,0.33
2025-10-31,1.95,-1.31,-3.1,-5.22,-4.03,0.37
