Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
2020-12-31,,9.33,8.05,4.19,9.05,9.51,9.22,5.98,4.06,10.48,8.41,9.57,9.47,10.45,8.32,6.19,5.86,3.84,4.09
2021-01-31,,13.21,2.82,-0.8,18.29,7.09,2.31,0.68,-0.84,16.85,18.95,8.77,5.97,1.33,3.04,2.22,-0.23,-0.38,-0.91
2021-02-28,,8.22,7.18,2.36,6.3,8.42,7.26,6.69,2.04,11.51,3.95,10.05,7.29,8.93,6.03,7.05,6.47,4.79,1.59
2021-03-31,,2.61,2.16,3.61,3.92,1.28,2.12,2.14,3.75,1.42,5.14,1.41,1.18,2.65,1.72,2.58,1.87,2.39,3.98
2021-04-30,,0.51,3.46,5.46,-0.73,1.8,3.38,4.54,5.52,-1.25,-0.48,1.67,1.88,2.96,3.7,4.17,4.77,5.64,5.5
2021-05-31,,2.57,-0.05,0.35,4.12,1.11,0.04,0.36,0.3,2.25,5.0,1.16,1.08,1.32,-0.93,-0.59,0.94,0.69,0.23
2021-06-30,,2.87,0.51,2.74,3.4,2.21,-0.3,0.91,2.89,4.15,3.05,2.38,2.08,-0.02,-0.51,0.86,0.94,1.94,3.05
2021-07-31,,-5.26,-2.56,1.99,-5.53,-4.74,-2.37,-1.09,2.2,-5.87,-5.24,-4.97,-4.55,-2.5,-2.29,-2.0,-0.56,0.72,2.45
2021-08-31,,2.72,1.92,3.03,3.35,2.07,1.82,2.71,3.02,3.03,3.62,2.03,2.1,1.56,1.99,1.98,3.13,3.25,2.99
2021-09-30,,-2.68,-2.98,-4.59,-2.74,-3.02,-2.95,-3.57,-4.64,-2.77,-2.72,-2.61,-3.35,-3.44,-2.64,-2.86,-3.98,-3.96,-4.75
2021-10-31,,2.24,4.66,7.0,1.7,3.0,4.46,5.15,7.16,0.83,2.45,2.84,3.14,4.83,4.22,5.5,4.95,7.24,7.15
2021-11-30,,-5.68,-4.79,-1.05,-5.07,-3.99,-4.52,-4.24,-0.89,-5.49,-4.71,-6.34,-2.06,-4.17,-4.74,-6.17,-3.13,-2.29,-0.66
2021-12-31,,1.26,2.95,3.52,-0.07,2.69,2.49,3.56,3.52,-1.97,1.51,2.7,2.69,3.13,2.07,3.67,3.5,3.94,3.45
2022-01-31,,-8.77,-8.18,-5.65,-8.42,-9.13,-8.56,-7.07,-5.56,-7.55,-9.11,-9.14,-9.11,-7.95,-8.96,-7.33,-6.92,-6.67,-5.37
2022-02-28,,1.14,1.27,-2.73,0.48,1.65,0.65,0.81,-2.94,-0.73,1.45,1.84,1.5,0.52,0.74,1.96,0.17,-0.55,-3.33
2022-03-31,,1.21,1.1,3.41,0.79,0.96,1.5,1.37,3.55,1.32,0.37,1.66,0.4,0.79,1.98,0.87,1.66,2.94,3.65
2022-04-30,,-8.93,-8.53,-9.35,-8.62,-10.23,-8.22,-7.92,-9.46,-8.61,-8.63,-9.25,-11.01,-8.73,-7.89,-8.0,-7.88,-7.61,-9.76
2022-05-31,,0.06,0.45,-0.32,-0.62,0.83,-0.05,1.11,-0.44,-1.84,0.36,0.77,0.87,-0.08,-0.03,0.93,1.2,0.62,-0.62
