dgp,n,S_true,method,bias,rmse,coverage_95,reject_rate_H0_S_le_0,se_ratio,bandwidth_tag
iid_normal,120,0.0,naive_iid_normal,0.004514394383110645,0.09316376966627062,0.948,0.062,0.9821469559605625,na
iid_normal,120,0.0,robust_hac,0.004514394383110645,0.09316376966627062,0.94,0.066,0.9585815457084617,auto
iid_normal,120,0.0,robust_hac,0.004514394383110645,0.09316376966627062,0.944,0.064,0.9711290614316531,half
iid_normal,120,0.0,robust_hac,0.004514394383110645,0.09316376966627062,0.934,0.074,0.9290238867290149,double
iid_normal,120,0.5,naive_iid_normal,-0.002233571722300432,0.09683824770400574,0.948,1.0,1.0004742440769216,na
iid_normal,120,0.5,robust_hac,-0.002233571722300432,0.09683824770400574,0.928,1.0,0.9658105413359448,auto
iid_normal,120,0.5,robust_hac,-0.002233571722300432,0.09683824770400574,0.942,1.0,0.9779239248535704,half
iid_normal,120,0.5,robust_hac,-0.002233571722300432,0.09683824770400574,0.918,1.0,0.9422028901367597,double
iid_normal,240,0.0,naive_iid_normal,-0.005663154617584217,0.06232058582120692,0.942,0.032,1.0400387046380202,na
iid_normal,240,0.0,robust_hac,-0.005663154617584217,0.06232058582120692,0.936,0.04,1.0209806635538439,auto
iid_normal,240,0.0,robust_hac,-0.005663154617584217,0.06232058582120692,0.94,0.042,1.027060303061184,half
iid_normal,240,0.0,robust_hac,-0.005663154617584217,0.06232058582120692,0.936,0.044,1.0120408064137913,double
iid_normal,240,0.5,naive_iid_normal,-0.002819031249301668,0.067246757042095,0.954,1.0,1.018268944640903,na
iid_normal,240,0.5,robust_hac,-0.002819031249301668,0.067246757042095,0.946,1.0,1.0035526740909106,auto
iid_normal,240,0.5,robust_hac,-0.002819031249301668,0.067246757042095,0.948,1.0,1.0090156139120083,half
iid_normal,240,0.5,robust_hac,-0.002819031249301668,0.067246757042095,0.948,1.0,0.9940040157134169,double
iid_normal,1200,0.0,naive_iid_normal,-0.0004430170411359282,0.030691918350416403,0.936,0.07,0.93993556989113,na
iid_normal,1200,0.0,robust_hac,-0.0004430170411359282,0.030691918350416403,0.934,0.072,0.9379710377298643,auto
iid_normal,1200,0.0,robust_hac,-0.0004430170411359282,0.030691918350416403,0.934,0.072,0.9388142639539804,half
iid_normal,1200,0.0,robust_hac,-0.0004430170411359282,0.030691918350416403,0.932,0.076,0.9355453724997294,double
iid_normal,1200,0.5,naive_iid_normal,0.0018748109201594159,0.03092580791766476,0.952,1.0,0.9914986601465723,na
iid_normal,1200,0.5,robust_hac,0.0018748109201594159,0.03092580791766476,0.956,1.0,0.9869043189711436,auto
iid_normal,1200,0.5,robust_hac,0.0018748109201594159,0.03092580791766476,0.96,1.0,0.9881412054491934,half
iid_normal,1200,0.5,robust_hac,0.0018748109201594159,0.03092580791766476,0.954,1.0,0.9852160299033349,double
iid_t,120,0.0,naive_iid_normal,0.00047724119824336063,0.09583939503421297,0.938,0.05,0.9537372438005848,na
iid_t,120,0.0,robust_hac,0.00047724119824336063,0.09583939503421297,0.928,0.054,0.9223006114391198,auto
iid_t,120,0.0,robust_hac,0.00047724119824336063,0.09583939503421297,0.934,0.054,0.9305740337602247,half
iid_t,120,0.0,robust_hac,0.00047724119824336063,0.09583939503421297,0.928,0.058,0.9051855953547452,double
iid_t,120,0.5,naive_iid_normal,0.014908746972292782,0.11114835352892657,0.914,0.998,0.8832287696222617,na
iid_t,120,0.5,robust_hac,0.014908746972292782,0.11114835352892657,0.906,0.996,0.8999716595727333,auto
iid_t,120,0.5,robust_hac,0.014908746972292782,0.11114835352892657,0.916,0.996,0.9074556695772129,half
iid_t,120,0.5,robust_hac,0.014908746972292782,0.11114835352892657,0.884,0.996,0.8795766010163264,double
iid_t,240,0.0,naive_iid_normal,0.0026876232426870966,0.0647434300702955,0.954,0.06,0.99791287436346,na
iid_t,240,0.0,robust_hac,0.0026876232426870966,0.0647434300702955,0.944,0.056,0.9820233548802794,auto
iid_t,240,0.0,robust_hac,0.0026876232426870966,0.0647434300702955,0.948,0.058,0.9874322882376668,half
iid_t,240,0.0,robust_hac,0.0026876232426870966,0.0647434300702955,0.936,0.054,0.9712301590856074,double
iid_t,240,0.5,naive_iid_normal,0.006729668913641031,0.07890544629557464,0.922,1.0,0.872356868756998,na
iid_t,240,0.5,robust_hac,0.006729668913641031,0.07890544629557464,0.922,1.0,0.9171138015120485,auto
iid_t,240,0.5,robust_hac,0.006729668913641031,0.07890544629557464,0.928,1.0,0.9229523292633197,half
iid_t,240,0.5,robust_hac,0.006729668913641031,0.07890544629557464,0.91,1.0,0.9076343553369879,double
iid_t,1200,0.0,naive_iid_normal,0.0005054558375608891,0.0274584414289994,0.96,0.044,1.0506406206012688,na
iid_t,1200,0.0,robust_hac,0.0005054558375608891,0.0274584414289994,0.956,0.052,1.0456785354470155,auto
iid_t,1200,0.0,robust_hac,0.0005054558375608891,0.0274584414289994,0.958,0.052,1.0461433048165538,half
iid_t,1200,0.0,robust_hac,0.0005054558375608891,0.0274584414289994,0.954,0.052,1.0431456352859714,double
iid_t,1200,0.5,naive_iid_normal,0.004347578296375804,0.03505150947261119,0.914,1.0,0.8805118125776017,na
iid_t,1200,0.5,robust_hac,0.004347578296375804,0.03505150947261119,0.93,1.0,0.9637577236889403,auto
iid_t,1200,0.5,robust_hac,0.004347578296375804,0.03505150947261119,0.936,1.0,0.9637450674180459,half
iid_t,1200,0.5,robust_hac,0.004347578296375804,0.03505150947261119,0.934,1.0,0.9632420310974522,double
ar1_t,120,0.0,naive_iid_normal,0.005570669495152984,0.12041007312460932,0.858,0.11,0.760921913835186,na
ar1_t,120,0.0,robust_hac,0.005570669495152984,0.12041007312460932,0.92,0.06,0.9281978699216126,auto
ar1_t,120,0.0,robust_hac,0.005570669495152984,0.12041007312460932,0.914,0.078,0.8940883410273331,half
ar1_t,120,0.0,robust_hac,0.005570669495152984,0.12041007312460932,0.912,0.066,0.9342170580949204,double
ar1_t,120,0.5,naive_iid_normal,0.004565855979485478,0.1385882846052896,0.846,0.99,0.7016694843690673,na
ar1_t,120,0.5,robust_hac,0.004565855979485478,0.1385882846052896,0.898,0.982,0.8670520789362649,auto
ar1_t,120,0.5,robust_hac,0.004565855979485478,0.1385882846052896,0.896,0.982,0.8388402817626375,half
ar1_t,120,0.5,robust_hac,0.004565855979485478,0.1385882846052896,0.9,0.982,0.8751701410507925,double
ar1_t,240,0.0,naive_iid_normal,-0.0015747905041531088,0.08840192703128719,0.858,0.11,0.7309912736621457,na
ar1_t,240,0.0,robust_hac,-0.0015747905041531088,0.08840192703128719,0.918,0.068,0.9072121650411588,auto
ar1_t,240,0.0,robust_hac,-0.0015747905041531088,0.08840192703128719,0.914,0.076,0.8703765920335066,half
ar1_t,240,0.0,robust_hac,-0.0015747905041531088,0.08840192703128719,0.922,0.066,0.9238135934096091,double
